Word,Reading,Sequence,ID,Length,Kanji,Priority,PriorityReading,PriorityNF,PriorityIchi,PriorityNews,PrioritySpec,PriorityGai,IsCommon,IsFalseReading,IsUsuallyKana,IsSometimesKana,Info,InfoReading
ご馳走さま,ごちそうさま,1270520,"ご馳走さま,ごちそうさま,1",5,馳 走,ichi1,ichi1 spec1,0,1,0,0,0,True,False,True,True,,
ご馳走様,ごちそうさま,1270520,"ご馳走様,ごちそうさま,1",4,馳 走 様,spec1,ichi1 spec1,0,0,0,1,0,True,False,True,True,,
ご馳走様でした,ごちそうさまでした,1005080,"ご馳走様でした,ごちそうさまでした,1",7,馳 走 様,spec1,spec1,0,0,0,1,0,True,False,True,True,,
さつま芋,さつまいも,1299220,"さつま芋,さつまいも,1",4,芋,spec1,ichi1 spec1,0,0,0,1,0,True,False,True,True,,
しか無い,しかない,2026790,"しか無い,しかない,1",4,無,spec1,spec1,0,0,0,1,0,True,False,True,True,,
しきい値,いきち,1594140,"しきい値,いきち,1",4,値,spec1,spec1,0,0,0,1,0,True,False,False,False,,
しきい値,しきいち,1594140,"しきい値,しきいち,1",4,値,spec1,spec1,0,0,0,1,0,True,False,False,False,,
し続ける,しつづける,1157310,"し続ける,しつづける,1",4,続,spec1,spec1,0,0,0,1,0,True,False,False,False,,
し過ぎる,しすぎる,1157220,"し過ぎる,しすぎる,1",4,過,spec1,spec1,0,0,0,1,0,True,False,True,True,,
じゃが芋,じゃがいも,1005930,"じゃが芋,じゃがいも,1",4,芋,spec1,spec1,0,0,0,1,0,True,False,True,True,,
じゃん拳,じゃんけん,1005970,"じゃん拳,じゃんけん,1",4,拳,spec1,spec1,0,0,0,1,0,True,False,True,True,,
じゃん拳,ジャンケン,1005970,"じゃん拳,ジャンケン,1",4,拳,spec1,spec1,0,0,0,1,0,True,False,True,True,,
じゃ無いか,じゃないか,2819990,"じゃ無いか,じゃないか,1",5,無,spec1,spec1,0,0,0,1,0,True,False,True,True,,
すき焼,すきやき,1474440,"すき焼,すきやき,1",3,焼,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
すき焼き,すきやき,1474440,"すき焼き,すきやき,1",4,焼,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
すぐ側,すぐそば,1430630,"すぐ側,すぐそば,1",3,側,spec1,spec1,0,0,0,1,0,True,False,True,True,,
